New List, Asking Price
Hyundai Sonata 2007,$2 950.00
BMW 3 Series,$3 000.00
2003 dodge ram,$7 500.00
Subaru Legacy 2.5i premium,$10 500.00
2003 Jeep Liberty 4x4 131k miles,$4 250.00
1994 Nissan truck,$2 000.00
For the fourth,$1 234.00
2003 Suzuki xl7 4x4 92000 miles,$3 000.00
2004 Dodge Neon,$2 300.00
GMC Sierra 1500,$6 000.00
1997 Toyota Land Cruiser,$2 900.00
Audi s4 2010,$16 000.00
1997 Toyota Land Cruiser,$2 900.00
2015 Subaru Impreza AWD,$11 500.00
2007 Toyota Rav4,$6 300.00
Acura Integra 2000,$2 450.00
2009 Nissan Altima,$3 650.00
79 chevrolet c10,$11 000.00
1993 Subaru Impreza Manual,$900.00
1995 Pontiac Grand Am GT,$1 500.00
2008 Audi S5,$16 694.00
2009 Chevrolet,$2 200.00
Chevy Traverse,$6 900.00
2009 Volvo C30 T5 Polestar 6 Speed ...,$9 499.00
05 Subaru Forester XT,$4 750.00
Ford Escape 2010,$5 800.00
2006 Cadillac CTS,$2 000.00
1994 Chevy suburban 1500 5.7L,$4 000.00
Vw gto vr6,$2 800.00
1999 Cherokee,$2 200.00
Truck for sale,$2 400.00
2009 Ford Explorer Sport Trac,$12 994.00
2000 Honda Accord Ex very well take...,$2 500.00
Infiniti G35 Coupe,$5 500.00
1994 Chevy Silverado 1500 cab,$150.00
2003 ram,$7 000.00
Honda Pilot,$4 600.00
2009 Subaru Forester,$7 991.00
honda civic 2006,$3 300.00
2007 Chevrolet TrailBlazer,$3 800.00
2004 Saab 93 Turbo,$1 700.00
2002 Hyundai Accent 80k miles Manua...,$1 800.00
2007 Mercury Milan,$5 449.00
2010 Toyota RAV4,$14 994.00
Great condition,$1 500.00
04 Jeep Wrangler Sport,$1 500.00
volkswagen passat,$4 500.00
Mazda Speed,$2 500.00
These are the latest cars listed on Offerup for sale in Colorado, to purchase, visit Page Link: https://offerup.com/explore/k/cars-trucks/